,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,85,34,27,4,3,80,24,56,a
2,,Sporting,72,34,22,6,6,55,19,36,a
3,,Benfica,58,34,17,7,10,49,30,19,a
4,,SC Braga,55,34,15,10,9,39,40,-1,a
5,,V. Guimarães,53,34,15,8,11,51,46,5,a
6,,SC Salgueiros,52,34,14,10,10,49,48,1,a
7,,Boavista,49,34,12,13,9,62,39,23,a
8,,Marítimo,47,34,13,8,13,39,38,1,a
9,,Est. Amadora,47,34,12,11,11,39,38,1,a
10,,GD Chaves,46,34,12,10,12,39,45,-6,a
11,,Farense,42,34,10,12,12,34,34,0,a
12,,V. Setúbal,40,34,10,10,14,38,42,-4,a
13,,Belenenses,40,34,10,10,14,37,50,-13,a
14,,Leça FC,36,34,9,9,16,33,42,-9,a
15,,Rio Ave,35,34,8,11,15,35,42,-7,a
16,,SC Espinho,33,34,9,6,19,27,56,-29,a
17,,UD Leiria,30,34,8,6,20,25,53,-28,a
18,,Gil Vicente,19,34,4,7,23,29,74,-45,a
