,,,P,J,V,E,D,GM,GS,DG,
1,,Boavista,77,34,23,8,3,63,22,41,a
2,,FC Porto,76,34,24,4,6,73,27,46,a
3,,Sporting,62,34,19,5,10,56,37,19,a
4,,SC Braga,57,34,16,9,9,58,48,10,a
5,,UD Leiria,56,34,15,11,8,46,41,5,a
6,,Benfica,54,34,15,9,10,54,44,10,a
7,,Belenenses,52,34,14,10,10,43,36,7,a
8,,Beira-Mar,49,34,14,7,13,45,49,-4,a
9,,Paços de Ferreira,48,34,12,12,10,47,39,8,a
10,,SC Salgueiros,43,34,13,4,17,41,55,-14,a
11,,Marítimo,43,34,12,7,15,34,37,-3,a
12,,FC Alverca,43,34,12,7,15,45,52,-7,a
13,,Farense,39,34,10,9,15,37,47,-10,a
14,,Gil Vicente,37,34,10,7,17,34,41,-7,a
15,,V. Guimarães,36,34,9,9,16,41,49,-8,a
16,,Campomaiorense,32,34,7,11,16,29,58,-29,a
17,,CD Aves,22,34,4,10,20,31,68,-37,a
18,,Est. Amadora,19,34,4,7,23,30,57,-27,a
