,1934/35,1935/36,1936/37,1937/38,1938/39,1939/40,1940/41,1941/42,1942/43,1943/44,1944/45,1945/46,1946/47,1947/48,1948/49,1949/50,1950/51,1951/52,1952/53,1953/54,1954/55,1955/56,1956/57,1957/58,1958/59,1959/60,1960/61,1961/62,1962/63,1963/64,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
FC Porto,43.0,93.0,124.0,167.0,224.0,300.0,347.0,424.0,464.0,510.0,574.0,639.0,712.0,785.0,840.0,901.0,968.0,1036.0,1094.0,1177.0,1228.0,1305.0,1391.0,1455.0,1536.0,1584.0,1635.0,1692.0,1753.0,1804.0,1851.0,1892.0,1948.0,2008.0,2047.0,2077.0,2121.0,2172.0,2228.0,2271.0,2333.0,2406.0,2478.0,2559.0,2629.0,2688.0,2741.0,2787.0,2860.0,2925.0,3003.0,3067.0,3134.0,3222.0,3274.0,3346.0,3423.0,3481.0,3540.0,3596.0,3669.0,3753.0,3833.0,3908.0,3993.0,4059.0,4132.0,4198.0,4271.0,4334.0,4373.0,4427.0,4492.0,4552.0,4613.0,4683.0,4756.0,4825.0,4895.0,4952.0,5026.0,5093.0,5164.0,5246.0,5320.0,5394.0
Sporting,39.0,80.0,134.0,201.0,245.0,332.0,390.0,483.0,549.0,610.0,667.0,740.0,863.0,955.0,1055.0,1146.0,1237.0,1328.0,1405.0,1485.0,1558.0,1612.0,1674.0,1753.0,1803.0,1885.0,1946.0,2012.0,2083.0,2132.0,2171.0,2241.0,2277.0,2325.0,2360.0,2421.0,2466.0,2517.0,2574.0,2670.0,2729.0,2783.0,2842.0,2905.0,2951.0,3018.0,3066.0,3132.0,3180.0,3238.0,3310.0,3374.0,3426.0,3488.0,3538.0,3580.0,3638.0,3694.0,3753.0,3824.0,3883.0,3952.0,4007.0,4052.0,4116.0,4173.0,4229.0,4303.0,4355.0,4415.0,4481.0,4531.0,4585.0,4631.0,4676.0,4718.0,4759.0,4806.0,4842.0,4896.0,4963.0,5042.0,5110.0,5173.0,5245.0,5294.0
Benfica,41.0,85.0,142.0,176.0,220.0,278.0,317.0,391.0,465.0,522.0,601.0,683.0,782.0,866.0,938.0,1024.0,1105.0,1181.0,1256.0,1318.0,1379.0,1455.0,1530.0,1589.0,1667.0,1742.0,1834.0,1903.0,1984.0,2087.0,2175.0,2248.0,2312.0,2387.0,2436.0,2494.0,2556.0,2637.0,2738.0,2806.0,2868.0,2962.0,3029.0,3085.0,3160.0,3239.0,3311.0,3371.0,3438.0,3524.0,3589.0,3643.0,3693.0,3752.0,3812.0,3888.0,3977.0,4039.0,4099.0,4172.0,4232.0,4290.0,4339.0,4401.0,4472.0,4530.0,4584.0,4650.0,4724.0,4786.0,4837.0,4888.0,4943.0,4988.0,5042.0,5120.0,5181.0,5247.0,5324.0,5382.0,5468.0,5556.0,5628.0,5708.0,5811.0,5882.0
Belenenses,45.0,73.0,119.0,148.0,186.0,244.0,303.0,369.0,447.0,488.0,560.0,634.0,700.0,776.0,844.0,880.0,925.0,985.0,1045.0,1088.0,1151.0,1218.0,1292.0,1346.0,1411.0,1469.0,1514.0,1565.0,1612.0,1658.0,1697.0,1725.0,1751.0,1789.0,1820.0,1843.0,1863.0,1898.0,1951.0,2007.0,2052.0,2097.0,2126.0,2151.0,2198.0,2231.0,2255.0,2283.0,2283.0,2283.0,2323.0,2350.0,2402.0,2454.0,2498.0,2530.0,2557.0,2557.0,2599.0,2638.0,2668.0,2721.0,2758.0,2780.0,2780.0,2816.0,2859.0,2913.0,2960.0,2995.0,3033.0,3073.0,3109.0,3144.0,3172.0,3195.0,3195.0,3195.0,3195.0,3214.0,3248.0,3292.0,3319.0,3352.0,3352.0,3352.0
V. Setúbal,26.0,58.0,76.0,76.0,76.0,83.0,83.0,83.0,83.0,135.0,179.0,226.0,271.0,309.0,348.0,398.0,429.0,429.0,469.0,520.0,557.0,614.0,654.0,691.0,744.0,770.0,770.0,770.0,803.0,849.0,910.0,961.0,988.0,1031.0,1076.0,1134.0,1185.0,1247.0,1312.0,1381.0,1428.0,1467.0,1514.0,1543.0,1581.0,1610.0,1640.0,1670.0,1699.0,1742.0,1777.0,1809.0,1809.0,1865.0,1909.0,1948.0,2001.0,2001.0,2001.0,2057.0,2082.0,2082.0,2120.0,2158.0,2195.0,2220.0,2220.0,2260.0,2300.0,2300.0,2346.0,2374.0,2395.0,2432.0,2453.0,2482.0,2511.0,2535.0,2565.0,2606.0,2630.0,2670.0,2700.0,2739.0,2767.0,2794.0
União Lisboa,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Académico FC,20.0,20.0,20.0,35.0,65.0,89.0,89.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0
Académica OAF,14.0,27.0,51.0,74.0,101.0,143.0,175.0,252.0,306.0,341.0,374.0,425.0,474.0,509.0,509.0,565.0,605.0,644.0,683.0,712.0,765.0,801.0,846.0,891.0,936.0,976.0,1007.0,1051.0,1100.0,1143.0,1201.0,1259.0,1309.0,1362.0,1410.0,1452.0,1490.0,1519.0,1519.0,1548.0,1581.0,1613.0,1642.0,1683.0,1703.0,1703.0,1719.0,1719.0,1719.0,1719.0,1764.0,1792.0,1814.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1873.0,1903.0,1903.0,1903.0,1903.0,1941.0,1981.0,2010.0,2047.0,2075.0,2106.0,2134.0,2171.0,2203.0,2230.0,2263.0,2288.0,2314.0,2346.0,2346.0,2346.0,2346.0,2346.0
Boavista,0,24.0,24.0,24.0,24.0,24.0,36.0,36.0,36.0,36.0,36.0,75.0,127.0,167.0,202.0,202.0,252.0,299.0,334.0,363.0,396.0,396.0,396.0,396.0,396.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,458.0,476.0,504.0,545.0,580.0,638.0,703.0,744.0,780.0,816.0,860.0,896.0,932.0,964.0,1000.0,1037.0,1081.0,1115.0,1157.0,1213.0,1262.0,1315.0,1360.0,1406.0,1452.0,1492.0,1550.0,1612.0,1666.0,1723.0,1763.0,1826.0,1879.0,1911.0,1943.0,1982.0,2019.0,2051.0,2083.0,2083.0,2083.0,2083.0,2083.0,2083.0,2083.0,2110.0,2134.0,2167.0,2202.0,2236.0,2264.0
Carcavelinhos,0,8.0,24.0,42.0,42.0,68.0,68.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0
