,1934/35,1935/36,1936/37,1937/38,1938/39,1939/40,1940/41,1941/42,1942/43,1943/44,1944/45,1945/46,1946/47,1947/48,1948/49,1949/50,1950/51,1951/52,1952/53,1953/54,1954/55,1955/56,1956/57,1957/58,1958/59,1959/60,1960/61,1961/62,1962/63,1963/64,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
FC Porto,22.0,42.0,56.0,79.0,102.0,136.0,156.0,184.0,198.0,221.0,241.0,261.0,294.0,330.0,363.0,389.0,423.0,459.0,495.0,531.0,561.0,604.0,644.0,687.0,728.0,758.0,791.0,832.0,874.0,914.0,951.0,985.0,1024.0,1060.0,1097.0,1119.0,1156.0,1189.0,1226.0,1269.0,1313.0,1352.0,1393.0,1444.0,1494.0,1544.0,1592.0,1635.0,1682.0,1731.0,1786.0,1835.0,1881.0,1947.0,2003.0,2062.0,2129.0,2185.0,2239.0,2291.0,2353.0,2437.0,2522.0,2599.0,2678.0,2751.0,2827.0,2895.0,2981.0,3063.0,3125.0,3204.0,3273.0,3348.0,3418.0,3486.0,3570.0,3645.0,3723.0,3784.0,3866.0,3939.0,4015.0,4103.0,4188.0,4270.0
Sporting,20.0,38.0,58.0,80.0,102.0,134.0,157.0,191.0,220.0,251.0,278.0,310.0,357.0,398.0,440.0,479.0,524.0,565.0,608.0,651.0,688.0,724.0,755.0,798.0,829.0,872.0,914.0,957.0,995.0,1029.0,1061.0,1103.0,1133.0,1170.0,1200.0,1246.0,1284.0,1327.0,1364.0,1413.0,1456.0,1494.0,1536.0,1578.0,1620.0,1672.0,1709.0,1755.0,1797.0,1839.0,1886.0,1932.0,1970.0,2017.0,2062.0,2108.0,2164.0,2208.0,2253.0,2304.0,2359.0,2426.0,2498.0,2554.0,2617.0,2694.0,2756.0,2831.0,2890.0,2963.0,3024.0,3096.0,3164.0,3219.0,3285.0,3333.0,3381.0,3440.0,3482.0,3549.0,3625.0,3711.0,3781.0,3859.0,3933.0,3993.0
Benfica,19.0,40.0,64.0,87.0,108.0,131.0,149.0,187.0,217.0,243.0,273.0,310.0,351.0,392.0,429.0,474.0,504.0,544.0,583.0,615.0,654.0,697.0,738.0,774.0,815.0,860.0,906.0,942.0,990.0,1036.0,1079.0,1120.0,1163.0,1204.0,1243.0,1281.0,1322.0,1377.0,1435.0,1482.0,1531.0,1581.0,1632.0,1683.0,1732.0,1777.0,1827.0,1871.0,1922.0,1974.0,2017.0,2064.0,2112.0,2163.0,2226.0,2281.0,2350.0,2396.0,2448.0,2502.0,2549.0,2622.0,2680.0,2748.0,2813.0,2882.0,2936.0,2999.0,3074.0,3148.0,3213.0,3280.0,3347.0,3399.0,3458.0,3534.0,3597.0,3666.0,3743.0,3817.0,3902.0,3990.0,4072.0,4153.0,4240.0,4317.0
Belenenses,18.0,35.0,58.0,68.0,81.0,106.0,125.0,155.0,183.0,204.0,231.0,269.0,302.0,339.0,374.0,401.0,425.0,461.0,497.0,528.0,567.0,604.0,637.0,665.0,703.0,739.0,767.0,798.0,834.0,864.0,890.0,915.0,935.0,960.0,986.0,1009.0,1031.0,1060.0,1100.0,1140.0,1175.0,1215.0,1241.0,1277.0,1306.0,1340.0,1366.0,1386.0,1386.0,1386.0,1416.0,1444.0,1474.0,1522.0,1562.0,1598.0,1627.0,1627.0,1661.0,1691.0,1718.0,1769.0,1809.0,1833.0,1833.0,1873.0,1925.0,1982.0,2025.0,2060.0,2106.0,2145.0,2194.0,2234.0,2258.0,2281.0,2281.0,2281.0,2281.0,2309.0,2357.0,2398.0,2434.0,2471.0,2471.0,2471.0
V. Setúbal,16.0,32.0,39.0,39.0,39.0,44.0,44.0,44.0,44.0,61.0,80.0,98.0,118.0,137.0,157.0,180.0,200.0,200.0,227.0,245.0,267.0,287.0,307.0,329.0,356.0,374.0,374.0,374.0,394.0,423.0,455.0,484.0,511.0,545.0,580.0,616.0,650.0,695.0,733.0,778.0,807.0,833.0,865.0,891.0,922.0,945.0,974.0,1002.0,1031.0,1065.0,1090.0,1112.0,1112.0,1152.0,1194.0,1230.0,1262.0,1262.0,1262.0,1296.0,1315.0,1315.0,1355.0,1392.0,1445.0,1478.0,1478.0,1516.0,1547.0,1547.0,1591.0,1637.0,1661.0,1706.0,1732.0,1757.0,1791.0,1821.0,1847.0,1886.0,1915.0,1945.0,1983.0,2015.0,2051.0,2085.0
União Lisboa,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Académico FC,6.0,6.0,6.0,11.0,21.0,29.0,29.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Académica OAF,3.0,6.0,17.0,27.0,38.0,55.0,66.0,92.0,106.0,112.0,121.0,137.0,157.0,167.0,167.0,191.0,215.0,237.0,256.0,274.0,299.0,318.0,346.0,370.0,391.0,416.0,442.0,464.0,483.0,508.0,542.0,568.0,608.0,643.0,673.0,695.0,728.0,749.0,749.0,772.0,792.0,815.0,849.0,875.0,893.0,893.0,907.0,907.0,907.0,907.0,936.0,961.0,987.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1056.0,1077.0,1077.0,1077.0,1077.0,1114.0,1152.0,1190.0,1229.0,1255.0,1287.0,1326.0,1359.0,1389.0,1418.0,1446.0,1483.0,1512.0,1537.0,1537.0,1537.0,1537.0,1537.0
Boavista,0,11.0,11.0,11.0,11.0,11.0,16.0,16.0,16.0,16.0,16.0,28.0,48.0,68.0,82.0,82.0,105.0,130.0,150.0,169.0,187.0,187.0,187.0,187.0,187.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,217.0,239.0,263.0,294.0,319.0,357.0,405.0,439.0,467.0,494.0,531.0,567.0,593.0,623.0,654.0,691.0,727.0,754.0,800.0,849.0,883.0,924.0,968.0,1007.0,1045.0,1077.0,1142.0,1191.0,1246.0,1317.0,1372.0,1449.0,1519.0,1562.0,1609.0,1659.0,1709.0,1744.0,1779.0,1779.0,1779.0,1779.0,1779.0,1779.0,1779.0,1813.0,1846.0,1889.0,1934.0,1978.0,2017.0
Carcavelinhos,0,6.0,15.0,26.0,26.0,36.0,36.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Leixões,0,0,4.0,4.0,4.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,36.0,59.0,82.0,112.0,137.0,158.0,176.0,200.0,224.0,245.0,266.0,285.0,306.0,336.0,357.0,386.0,408.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,485.0,530.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0
Barreirense,0,0,0,8.0,18.0,37.0,47.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,93.0,121.0,143.0,163.0,186.0,206.0,230.0,247.0,247.0,255.0,255.0,273.0,284.0,284.0,298.0,298.0,308.0,308.0,336.0,356.0,383.0,408.0,429.0,429.0,429.0,429.0,429.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0
Casa Pia,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Unidos de Lisboa,0,0,0,0,0,0,6.0,24.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
Olhanense,0,0,0,0,0,0,0,14.0,32.0,54.0,70.0,97.0,123.0,140.0,164.0,188.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,227.0,248.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,282.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,328.0,362.0,401.0,426.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0
